"""","平成13年度_2001","平成14年度_2002","平成15年度_2003","平成16年度_2004","平成17年度_2005","平成18年度_2006","平成19年度_2007","平成20年度_2008","平成21年度_2009","平成22年度_2010","平成23年度_2011","平成24年度_2012","平成25年度_2013"
"県内総生産","-","-1.4","-0.5","0.2","2.8","0.8","-2.4","-3.1","-4.9","5.6","1.2","0.1","0.6"
"和歌山市","-","2.7","1.7","1.8","6.2","-2.0","-1.8","-2.8","-7.8","4.0","0.0","1.6","0.1"
"海南市","-","-3.7","-8.3","-1.0","4.2","23.7","-9.3","-8.5","-7.7","0.7","1.1","3.1","7.1"
"橋本市","-","-0.4","-8.6","-2.5","-1.5","1.2","-2.3","-3.0","-1.5","2.0","2.2","2.0","-3.0"
"有田市","-","-35.5","15.3","-15.2","12.0","-18.6","-12.2","8.7","-16.6","107.8","-1.4","-19.4","-28.0"
"御坊市","-","0.1","-3.3","-0.6","-3.9","3.8","-4.0","-4.0","0.7","0.8","-1.5","1.7","-1.8"
"田辺市","-","1.7","-1.2","-0.7","-4.6","2.4","-0.3","-4.0","-0.6","1.3","2.7","1.7","4.4"
"新宮市","-","-1.1","-4.7","2.5","-2.6","0.0","0.4","-4.7","0.3","2.8","-0.4","4.0","6.4"
"紀の川市","-","-0.6","-1.9","2.0","0.6","6.8","-1.6","-1.2","1.2","-4.5","11.8","-3.0","1.4"
"岩出市","-","-0.8","1.6","4.4","-2.2","3.1","1.2","-1.4","0.4","0.2","0.9","1.5","6.9"
"海草郡_紀美野町","-","5.2","-8.2","-4.5","-0.5","3.5","-4.9","-2.3","-5.2","-3.5","-2.8","-0.9","10.6"
"伊都郡_かつらぎ町","-","-2.7","-3.1","-0.2","-8.6","5.4","4.7","-4.2","1.0","8.8","11.4","-3.9","-3.6"
"伊都郡_九度山町","-","-2.3","-3.0","2.3","-4.2","1.3","-3.7","-4.9","-1.0","6.6","-2.9","-1.5","13.7"
"伊都郡_高野町","-","2.3","-2.8","-5.4","39.8","4.6","-4.8","-4.9","-3.5","4.3","4.4","7.7","6.2"
"有田郡_湯浅町","-","-2.6","-2.9","2.4","-4.8","4.0","-0.4","-2.9","-3.2","10.6","-3.4","-6.1","9.6"
"有田郡_広川町","-","-6.7","2.0","-0.1","-2.2","-1.8","-2.8","-1.6","-6.3","9.9","-6.7","4.6","1.9"
"有田郡_有田川町","-","-6.3","0.2","0.2","-1.9","10.6","1.1","-4.7","-4.7","-0.4","7.7","-0.4","-1.5"
"日高郡_美浜町","-","-0.1","-2.1","5.3","-2.7","1.4","-0.6","-4.9","-4.4","0.6","3.2","2.9","9.3"
"日高郡_日高町","-","-5.4","0.5","8.3","-9.8","-0.5","-3.0","-4.1","1.2","1.3","0.2","-2.5","9.4"
"日高郡_由良町","-","1.0","-14.9","3.4","15.7","-10.7","10.3","0.2","16.3","-3.6","-6.0","-25.6","8.3"
"日高郡印南町","-","5.9","1.4","6.8","3.8","-6.8","-6.5","-9.9","28.4","3.2","-2.0","-6.8","10.0"
"日高郡みなべ町","-","-1.6","-1.4","-3.9","-4.9","4.4","-4.8","-8.1","0.0","4.7","0.0","0.0","-2.5"
"日高郡日高川町","-","-0.7","-3.4","4.5","-6.4","3.5","-0.7","-5.8","-1.7","-1.4","4.5","7.6","-9.0"
"西牟婁郡_白浜町","-","-4.5","-2.1","-3.8","-7.3","2.9","1.5","-4.7","1.0","0.1","5.1","0.6","19.2"
"西牟婁郡_上富田町","-","2.7","-1.5","5.0","-1.4","3.8","-4.4","-6.2","0.8","10.9","-3.8","10.4","-3.0"
"西牟婁郡_すさみ町","-","0.1","-7.6","-6.7","-1.2","-7.8","-2.9","-2.3","5.2","6.0","20.8","-13.9","24.1"
"東牟婁郡_那智勝浦町","-","-4.3","-5.9","-4.1","-3.0","1.1","0.5","-0.4","3.6","-0.7","0.8","15.2","6.7"
"東牟婁郡_太地町","-","-9.8","0.0","-3.2","0.6","-10.1","3.6","10.2","-2.4","-2.5","1.2","32.1","-8.6"
"東牟婁郡_古座川町","-","-14.3","-6.8","-3.0","-14.7","-4.8","-6.0","2.7","8.9","-3.0","20.9","-11.0","14.8"
"東牟婁郡_北山村","-","-5.0","-13.8","-6.8","-7.6","53.0","-4.5","23.2","-20.3","14.1","10.7","-4.2","-4.7"
"東牟婁郡_串本町","-","2.5","-3.6","-1.1","-0.8","0.2","-3.1","-4.9","-0.5","4.9","-1.8","-0.1","4.1"
"海草地区","-","1.9","0.3","1.4","5.9","0.8","-2.9","-3.5","-7.8","3.5","0.1","1.7","1.0"
"那賀地区","-","-0.7","-0.7","2.8","-0.4","5.6","-0.7","-1.3","0.9","-2.9","8.0","-1.5","3.2"
"伊都地区","-","-0.8","-6.8","-2.0","-0.3","2.4","-1.1","-3.5","-1.1","4.0","4.4","0.9","-1.6"
"有田地区","-","-23.0","7.3","-7.6","4.4","-6.3","-5.4","1.4","-10.0","47.1","0.3","-11.8","-13.9"
"日高地区","-","-0.1","-3.3","1.2","-2.3","1.0","-2.5","-5.1","3.9","1.0","-0.8","-1.9","0.6"
"西牟婁地区","-","0.5","-1.6","-0.9","-4.6","2.3","-0.5","-4.3","0.1","2.3","2.9","1.9","6.8"
"東牟婁地区","-","-1.7","-4.7","-0.1","-2.6","0.4","-0.6","-3.0","0.5","2.4","0.3","5.4","5.5"
